,rt_id,critic_id,review_score
413,m/1009645-hills_have_eyes,5223,80.0
416,m/1010030-house_of_wax,1219,80.0
417,m/1010030-house_of_wax,1219,80.0
418,m/1010174-hud,6047,100.0
420,m/1010214-hunchback_of_notre_dame,209,100.0
421,m/1010214-hunchback_of_notre_dame,209,100.0
422,m/1010417-imitation_of_life,6019,90.0
423,m/1010417-imitation_of_life,6019,90.0
424,m/1010431-importance_of_being_earnest,1219,80.0
427,m/1010448-in_cold_blood,769,100.0
428,m/1010540-indiscreet,3510,80.0
429,m/1010540-indiscreet,3510,80.0
431,m/1010678-invasion_of_the_body_snatchers,2620,75.0
432,m/1010695-invisible_man,2816,100.0
433,m/1010695-invisible_man,2816,100.0
434,m/1010752-island_of_dr_moreau,5593,62.0
435,m/1010752-island_of_dr_moreau,5593,62.0
438,m/1010939-jason_and_the_argonauts,5242,80.0
439,m/1010939-jason_and_the_argonauts,3510,80.0
440,m/1010979-jazz_singer,853,53.0
441,m/1010979-jazz_singer,853,53.0
442,m/1011028-jesus_christ_superstar,5979,87.5
443,m/1011028-jesus_christ_superstar,6302,37.5
444,m/1011328-julius_caesar,5979,100.0
445,m/1011328-julius_caesar,5979,100.0
448,m/1011623-king_of_comedy,5979,75.0
449,m/1011623-king_of_comedy,890,91.0
450,m/1011626-king_of_kings,3097,60.0
451,m/1011626-king_of_kings,1698,75.0
452,m/1011813-lady_vanishes,853,87.0
453,m/1011813-lady_vanishes,853,87.0
454,m/1011818-ladykillers,2605,87.5
455,m/1011818-ladykillers,2605,87.5
456,m/1012007-laura,5979,90.0
457,m/1012007-laura,1698,100.0
459,m/1012164-legend,5316,50.0
460,m/1012386-lion_in_winter,3584,80.0
462,m/1012515-little_shop_of_horrors,2574,87.5
463,m/1012515-little_shop_of_horrors,1798,80.0
464,m/1012611-lolita,5871,75.0
465,m/1012611-lolita,5871,75.0
466,m/1012665-longest_yard,5413,68.0
468,m/1012928-m,1867,100.0
470,m/1013071-magnificent_ambersons,2816,100.0
471,m/1013071-magnificent_ambersons,2574,75.0
472,m/1013077-magnificent_seven,5582,100.0
473,m/1013077-magnificent_seven,5582,100.0
475,m/1013139-maltese_falcon,1428,93.0
476,m/1013162-man_for_all_seasons,4169,60.0
477,m/1013162-man_for_all_seasons,5884,100.0
478,m/1013227-manchurian_candidate,5316,100.0
479,m/1013227-manchurian_candidate,5316,100.0
480,m/1013248-manhunter,1698,100.0
481,m/1013248-manhunter,2858,90.0
482,m/1013259-mannequin,948,0.0
483,m/1013259-mannequin,948,0.0
484,m/1013427-marty,4169,90.0
485,m/1013427-marty,853,83.0
486,m/1013772-meteor,5593,40.0
487,m/1013772-meteor,743,20.0
488,m/1013775-metropolis,5316,100.0
489,m/1013775-metropolis,1604,100.0
490,m/1014027-mission,5316,62.5
491,m/1014027-mission,743,40.0
492,m/1014090-moby_dick,1428,77.0
493,m/1014090-moby_dick,1428,77.0
494,m/1014217-moonraker,5582,50.0
495,m/1014217-moonraker,2574,75.0
496,m/1014370-mummy,5952,100.0
497,m/1014370-mummy,5952,100.0
498,m/1014481-mutiny_on_the_bounty,2574,87.5
499,m/1014481-mutiny_on_the_bounty,2574,87.5
500,m/1014536-my_man_godfrey,3051,80.0
501,m/1014536-my_man_godfrey,3051,80.0
502,m/1014793-near_dark,1219,70.0
503,m/1014793-near_dark,1433,80.0
504,m/1015002-night_at_the_opera,2663,100.0
505,m/1015002-night_at_the_opera,4950,100.0
506,m/1015052-night_of_the_living_dead,2605,100.0
508,m/1015218-no_way_out,5316,100.0
509,m/1015218-no_way_out,5316,100.0
510,m/1015361-obsession,1698,75.0
511,m/1015361-obsession,1698,75.0
512,m/1015380-odd_couple,853,82.0
513,m/1015380-odd_couple,2169,100.0
514,m/1015517-omen,1698,67.0
515,m/1015517-omen,1698,67.0
516,m/1016213-peter_pan,1219,60.0
517,m/1016213-peter_pan,1219,60.0
519,m/1016338-pink_panther,3510,60.0
521,m/1016359-piranha,3391,40.0
522,m/1016397-planet_of_the_apes,3051,70.0
523,m/1016397-planet_of_the_apes,3051,70.0
524,m/1016479-point_blank,3510,80.0
526,m/1016513-poltergeist,291,60.0
527,m/1016513-poltergeist,291,60.0
530,m/1016584-poseidon_adventure,2605,62.5
531,m/1016584-poseidon_adventure,2820,60.0
532,m/1016591-postman_always_rings_twice,1698,100.0
534,m/1016819-producers,2456,100.0
535,m/1016819-producers,2456,100.0
536,m/1016834-prom_night,6265,40.0
537,m/1016834-prom_night,6265,40.0
538,m/1016837-promised_land,3184,60.0
540,m/1017289-rear_window,4494,100.0
541,m/1017289-rear_window,5214,100.0
543,m/1017321-red_dawn,2558,0.0
544,m/1017328-red_heat,5316,75.0
545,m/1017328-red_heat,5316,75.0
546,m/1017346-red_shoes,1285,100.0
547,m/1017346-red_shoes,2833,90.0
548,m/1017352-red_sonja,2620,0.0
549,m/1017352-red_sonja,948,0.0
550,m/1017488-return_to_oz,5242,60.0
551,m/1017488-return_to_oz,903,40.0
552,m/1017641-risky_business,2956,70.0
553,m/1017641-risky_business,1219,90.0
554,m/1017666-road_house,5316,62.5
555,m/1017666-road_house,5316,62.5
556,m/1017699-robin_hood,1604,75.0
557,m/1017699-robin_hood,1604,75.0
558,m/1017712-robocop,1798,90.0
559,m/1017712-robocop,1798,90.0
560,m/1017776-rocky,2574,87.5
561,m/1017776-rocky,2574,87.5
562,m/1017834-romeo_and_juliet,5871,100.0
563,m/1017834-romeo_and_juliet,5871,100.0
564,m/1018047-sabrina,761,60.0
565,m/1018047-sabrina,761,60.0
